San Carlo;44.5011743;11.3409946;place_of_worship;
San Gregorio e San Siro;44.4960008;11.3393331;place_of_worship;
Chiesa della Madonna dei Poveri;44.4925327;11.3356731;place_of_worship;
Madonna di Galliera;44.496656;11.3424694;place_of_worship;
Assemblee di Dio in Italia;44.5119582;11.3459308;place_of_worship;
Gesù Buon Pastore;44.5255791;11.3433119;place_of_worship;
Sacro Cuore di Gesù;44.5078822;11.3468187;place_of_worship;it:4424471
San Cristoforo;44.514902;11.3443969;place_of_worship;
San Girolamo dell’Arcoveggio;44.5177822;11.3422143;place_of_worship;
Santi Angeli Custodi;44.5158121;11.3516166;place_of_worship;
Santi Carlo Borromeo e Vincenzo de’ Paoli;44.5048659;11.3602021;place_of_worship;
Sant’Antonio Maria Pucci;44.5085535;11.3584051;place_of_worship;
Sant’Egidio;44.4998621;11.3585111;place_of_worship;
San Paolo Maggiore;44.4908558;11.3398962;place_of_worship;
San Giovanni in Monte;44.4904709;11.3487688;place_of_worship;it:5485820
Deposito Collezione Storica ATC;44.5067948;11.3493895;museum;
San Procolo;44.4894191;11.341257;place_of_worship;
Chiesa di Santa Maria della Mascarella;44.4995885;11.3500389;place_of_worship;
Santuario della Beata Vergine del Soccorso;44.5026795;11.3508709;place_of_worship;
Santa Caterina di Strada Maggiore;44.4911603;11.3550043;place_of_worship;
Santa Maria dei Servi;44.4913697;11.352385;place_of_worship;it:827091
Ex Convento di Santa Cristina;44.488645;11.3552038;place_of_worship;
Museo Carducci;44.4881292;11.3573451;museum;it:1597112
Monumento ai caduti di Nassirya;44.5011896;11.3457215;monument;
Santi Giuseppe e Ignazio;44.4864183;11.3480783;place_of_worship;
Oratorio di San Macario;44.3517954;11.7189678;place_of_worship;
Chiesa di Ganzanigo;44.4817939;11.6561439;place_of_worship;
Parrocchia di San Domenico Savio;44.4998296;11.3737551;place_of_worship;
Santuario del Crocifisso;44.3975985;11.5892295;place_of_worship;
Chiesa di Sant'Andrea Apostolo;44.5481524;11.3989987;place_of_worship;
Maria Regina Mundi;44.5051947;11.3310059;place_of_worship;
Oratorio del Confortino;44.5379842;11.1755046;place_of_worship;
Eremo di Tizzano;44.4678571;11.2543313;place_of_worship;it:2675689
Chiesa Parrocchiale San Donnino e San Sebastiano;44.4437033;11.2701705;place_of_worship;
San Marino;44.6030238;11.4205999;place_of_worship;
San Giovanni Battista di Minerbio;44.6252972;11.4918787;place_of_worship;
Rocca;44.7117007;11.3053328;Generico;
Basilica Romanica di Santa Maria Annunziata e San Biagio;44.6162114;11.256986;place_of_worship;
Museo per la Memoria di Ustica;44.5133757;11.3503966;museum;it:4015714
Santa Maria Maddalena di Cazzano;44.5774827;11.4930199;place_of_worship;
Parrocchia San Carlo;44.4480838;11.4169338;place_of_worship;
Santo Stefano di Scascoli;44.3128861;11.3042632;place_of_worship;
Auditorium San Lorenzo;44.402628;11.2552063;place_of_worship;
Chiesa Parrocchiale San Lorenzo;44.4022442;11.2552042;place_of_worship;
Santuario della Beata Vergine del Sasso;44.3947144;11.2454437;place_of_worship;
Museo Archeologico Luigi Fantini;44.3275941;11.4040466;museum;
Museo Ebraico di Bologna;44.4958974;11.3479363;museum;it:3613702
Museo internazionale e biblioteca della musica;44.4928659;11.3502549;museum;it:551642
Chiesa di Casaglia;44.4644004;11.3034889;place_of_worship;
Parrocchia San Severino;44.4794346;11.3702787;place_of_worship;
Chiesa di San Michele;44.1120243;11.0502223;place_of_worship;
Chiesa;44.3236148;11.097404;fountain;
Monumento Aereo;44.1820869;10.9751196;monument;
Lamborghini;44.6591378;11.1258279;museum;
Museo della Storia di Bologna;44.4925888;11.346619;museum;it:210447
Casa Saraceni;44.4914312;11.3461791;museum;
Palazzo Fava - Palazzo delle Esposizioni;44.49641;11.3423969;museum;it:5950052
San Colombano - Collezione Tagliavini;44.4967333;11.3407983;museum;it:2398274
Chiesa Parrocchiale San Cristoforo;44.4434817;11.4647161;place_of_worship;
Chiesa Sussidiale Sant'Ambrogio;44.4419863;11.4747454;place_of_worship;
Mostra - Museo di Claterna;44.4420095;11.475502;museum;
Ayrton Senna;44.3416832;11.7059126;memorial;
Museo dei Burattini;44.5378697;11.5364838;museum;
Fontana;44.3751761;11.733709;fountain;
Museo della Resistenza;44.3114418;11.4602041;museum;
Palazzo Monsignani;44.3537232;11.7128355;museum;it:1647342
Antico acquedotto;44.3849485;11.2613372;ruins;
Pieve di Roffeno;44.2982201;11.0541335;monument;
Statua di San Petronio;44.4943272;11.3466989;artwork;
Maestri del lavoro;44.367802;11.7040064;memorial;
Papa Giovanni Paolo II;44.3535539;11.7053507;memorial;
Palazzo Malvasia;44.3971106;11.5904787;museum;
Castello della Giovannina;44.735113;11.26332;attraction;
A Garibaldi;44.4995535;11.3441019;monument;it:3135961
acropoli;44.336618;11.199285;Generico;
Monumento ai caduti;44.5053604;11.3432241;memorial;
San Michele;44.1802491;11.1894251;place_of_worship;
Monumento ai caduti;44.3504952;11.7181751;monument;
Monumento alla Brigata Partigiana Maiella;44.486569;11.3869652;monument;
Monumento alle Vittime della Uno Bianca;44.4867455;11.3863996;monument;
Monumento ai caduti;44.4701536;11.4086488;monument;
Castello Monte Bonsara;44.3837308;11.1593426;ruins;
Trincee Linea Gotica;44.2869801;11.01366;Generico;
Trincee Linea Gotica;44.2966428;11.0041444;Generico;
Fontana Luminosa;44.3954469;11.5897284;fountain;
Chiesa di Santa Maria dell'Olivo;44.3535457;11.7118462;place_of_worship;
Museo della Specola di Bologna;44.4966931;11.3524709;museum;it:2775223
Necropoli meridionale;44.3328494;11.2059087;Generico;
Area archeologica di Marzabotto;44.3351699;11.2032281;Generico;
